id,method,dataset,paramters,accuracy,time
0,watershed,SSL1,NA,0.9816819317235637,0.2566993236541748
1,IFT-SUM,SSL1,NA,0.974188176519567,0.0929718017578125
2,RW,SSL1,beta=1.0,0.9833472106577852,0.011923074722290039
3,RW,SSL1,beta=3.0,0.9825145711906744,0.009696006774902344
4,RW,SSL1,beta=5.0,0.9825145711906744,0.00957942008972168
5,PW,SSL1,beta=1.0:k=1,0.9825145711906744,0.9708347320556641
6,PW,SSL1,beta=1.0:k=3,0.9508742714404663,1.4364228248596191
7,PW,SSL1,beta=1.0:k=5,0.9125728559533722,1.8475573062896729
8,PW,SSL1,beta=1.0:k=10,0.880932556203164,2.3002028465270996
9,PW,SSL1,beta=3.0:k=1,0.9825145711906744,0.9731335639953613
10,PW,SSL1,beta=3.0:k=3,0.9500416319733556,1.3943967819213867
11,PW,SSL1,beta=3.0:k=5,0.9125728559533722,1.881927490234375
12,PW,SSL1,beta=3.0:k=10,0.8734388009991674,2.3261191844940186
13,PW,SSL1,beta=5.0:k=1,0.9825145711906744,0.9686286449432373
14,PW,SSL1,beta=5.0:k=3,0.9492089925062448,1.3237817287445068
15,PW,SSL1,beta=5.0:k=5,0.9100749375520399,1.9739768505096436
16,PW,SSL1,beta=5.0:k=10,0.8792672772689425,2.4035308361053467
17,SVM,SSL1,C=0.1,0.5104079933388843,0.14149975776672363
18,SVM,SSL1,C=1.0,0.9175686927560366,0.13745450973510742
19,SVM,SSL1,C=3.0,0.9358867610324729,0.10443615913391113
20,1NN,SSL1,NA,0.974188176519567,0.15869545936584473
21,RFC,SSL1,max_depth=3,0.9267277268942548,0.14746952056884766
22,RFC,SSL1,max_depth=4,0.9375520399666945,0.16124606132507324
23,RFC,SSL1,max_depth=5,0.9542048293089093,0.1726069450378418
24,RFC,SSL1,max_depth=6,0.9575353871773522,0.18210721015930176
25,RFC,SSL1,max_depth=7,0.9500416319733556,0.18710947036743164
26,RFC,SSL1,max_depth=8,0.9575353871773522,0.19201374053955078
27,RFC,SSL1,max_depth=9,0.9600333055786844,0.19291162490844727
28,RFC,SSL1,max_depth=10,0.9525395503746877,0.19588804244995117
29,RFC,SSL1,max_depth=11,0.9575353871773522,0.19574761390686035
30,RFC,SSL1,max_depth=12,0.95503746877602,0.19896697998046875
31,RFC,SSL1,max_depth=13,0.9592006661115737,0.19457650184631348
32,RFC,SSL1,max_depth=14,0.9592006661115737,0.19652485847473145
33,RFC,SSL1,max_depth=15,0.9492089925062448,0.19383978843688965
34,RFC,SSL1,max_depth=16,0.9650291423813488,0.20928621292114258
35,RFC,SSL1,max_depth=17,0.9542048293089093,0.19776678085327148
36,RFC,SSL1,max_depth=18,0.95503746877602,0.1985456943511963
37,RFC,SSL1,max_depth=19,0.9567027477102414,0.1953141689300537
38,RFC,SSL1,max_depth=20,0.95503746877602,0.19853782653808594
39,Ensemblewatershed,SSL1,num_features=20,0.9825145711906744,26.4447021484375
40,Ensemblewatershed,SSL1,num_features=30,0.9816819317235637,26.691169023513794
41,Ensemblewatershed,SSL1,num_features=50,0.9833472106577852,27.11380648612976
42,watershed,SSL2,NA,0.97,0.28803062438964844
43,IFT-SUM,SSL2,NA,0.9625,0.10112285614013672
44,RW,SSL2,beta=1.0,0.9108333333333334,0.020514249801635742
45,RW,SSL2,beta=3.0,0.9275,0.07456135749816895
46,RW,SSL2,beta=5.0,0.8966666666666666,0.0258941650390625
47,PW,SSL2,beta=1.0:k=1,0.8991666666666667,1.0839552879333496
48,PW,SSL2,beta=1.0:k=3,0.8316666666666667,2.035191297531128
49,PW,SSL2,beta=1.0:k=5,0.7533333333333333,2.7074947357177734
50,PW,SSL2,beta=1.0:k=10,0.735,3.645463705062866
51,PW,SSL2,beta=3.0:k=1,0.8991666666666667,1.0793046951293945
52,PW,SSL2,beta=3.0:k=3,0.8316666666666667,2.0335288047790527
53,PW,SSL2,beta=3.0:k=5,0.7475,2.753946304321289
54,PW,SSL2,beta=3.0:k=10,0.7366666666666667,3.90628981590271
55,PW,SSL2,beta=5.0:k=1,0.8991666666666667,1.0837516784667969
56,PW,SSL2,beta=5.0:k=3,0.8291666666666667,2.1158950328826904
57,PW,SSL2,beta=5.0:k=5,0.7575,2.557492971420288
58,PW,SSL2,beta=5.0:k=10,0.7325,3.760411262512207
59,SVM,SSL2,C=0.1,0.8,0.06768608093261719
60,SVM,SSL2,C=1.0,0.8458333333333333,0.06516170501708984
61,SVM,SSL2,C=3.0,0.9158333333333334,0.05989217758178711
62,1NN,SSL2,NA,0.9625,0.15987634658813477
63,RFC,SSL2,max_depth=3,0.8566666666666667,0.14617705345153809
64,RFC,SSL2,max_depth=4,0.8725,0.16263246536254883
65,RFC,SSL2,max_depth=5,0.875,0.17535662651062012
66,RFC,SSL2,max_depth=6,0.8783333333333333,0.18730401992797852
67,RFC,SSL2,max_depth=7,0.8833333333333333,0.19465136528015137
68,RFC,SSL2,max_depth=8,0.8925,0.2016746997833252
69,RFC,SSL2,max_depth=9,0.8908333333333334,0.20409798622131348
70,RFC,SSL2,max_depth=10,0.8891666666666667,0.20482945442199707
71,RFC,SSL2,max_depth=11,0.8941666666666667,0.21224737167358398
72,RFC,SSL2,max_depth=12,0.8925,0.20796489715576172
73,RFC,SSL2,max_depth=13,0.8891666666666667,0.21369361877441406
74,RFC,SSL2,max_depth=14,0.8858333333333334,0.2128140926361084
75,RFC,SSL2,max_depth=15,0.8933333333333333,0.21179533004760742
76,RFC,SSL2,max_depth=16,0.8958333333333334,0.20969533920288086
77,RFC,SSL2,max_depth=17,0.8875,0.21309566497802734
78,RFC,SSL2,max_depth=18,0.8933333333333333,0.20801401138305664
79,RFC,SSL2,max_depth=19,0.8916666666666667,0.21339964866638184
80,RFC,SSL2,max_depth=20,0.8916666666666667,0.21213126182556152
81,Ensemblewatershed,SSL2,num_features=20,0.9166666666666666,29.934908628463745
82,Ensemblewatershed,SSL2,num_features=30,0.9158333333333334,30.0066659450531
83,Ensemblewatershed,SSL2,num_features=50,0.9366666666666666,30.317943572998047
84,watershed,SSL3,NA,1.0,0.778702974319458
85,IFT-SUM,SSL3,NA,0.9716666666666667,0.2212984561920166
86,RW,SSL3,beta=1.0,0.8041666666666667,0.028676986694335938
87,RW,SSL3,beta=3.0,0.905,0.18317294120788574
88,RW,SSL3,beta=5.0,0.9483333333333334,0.4131433963775635
89,PW,SSL3,beta=1.0:k=1,0.6691666666666667,2.784219741821289
90,PW,SSL3,beta=1.0:k=3,0.6,4.5209596157073975
91,PW,SSL3,beta=1.0:k=5,0.465,6.755107402801514
92,PW,SSL3,beta=1.0:k=10,0.5616666666666666,10.639213562011719
93,PW,SSL3,beta=3.0:k=1,0.6691666666666667,2.7742135524749756
94,PW,SSL3,beta=3.0:k=3,0.5975,4.5554070472717285
95,PW,SSL3,beta=3.0:k=5,0.4625,6.597951889038086
96,PW,SSL3,beta=3.0:k=10,0.5308333333333334,10.023706436157227
97,PW,SSL3,beta=5.0:k=1,0.6691666666666667,2.7923529148101807
98,PW,SSL3,beta=5.0:k=3,0.5958333333333333,4.688451528549194
99,PW,SSL3,beta=5.0:k=5,0.4508333333333333,6.439162254333496
100,PW,SSL3,beta=5.0:k=10,0.5308333333333334,9.69643259048462
101,SVM,SSL3,C=0.1,0.5258333333333334,0.1406104564666748
102,SVM,SSL3,C=1.0,0.5558333333333333,0.1417379379272461
103,SVM,SSL3,C=3.0,0.5675,0.14084219932556152
104,1NN,SSL3,NA,0.9716666666666667,0.1080930233001709
105,RFC,SSL3,max_depth=3,0.835,0.14716458320617676
106,RFC,SSL3,max_depth=4,0.8916666666666667,0.16136980056762695
107,RFC,SSL3,max_depth=5,0.8933333333333333,0.1722729206085205
108,RFC,SSL3,max_depth=6,0.9133333333333333,0.18015551567077637
109,RFC,SSL3,max_depth=7,0.9158333333333334,0.18451452255249023
110,RFC,SSL3,max_depth=8,0.915,0.18805456161499023
111,RFC,SSL3,max_depth=9,0.905,0.18709850311279297
112,RFC,SSL3,max_depth=10,0.9141666666666667,0.19163990020751953
113,RFC,SSL3,max_depth=11,0.9125,0.1873466968536377
114,RFC,SSL3,max_depth=12,0.9225,0.19102120399475098
115,RFC,SSL3,max_depth=13,0.9108333333333334,0.18861031532287598
116,RFC,SSL3,max_depth=14,0.9183333333333333,0.19117975234985352
117,RFC,SSL3,max_depth=15,0.91,0.19055795669555664
118,RFC,SSL3,max_depth=16,0.9066666666666666,0.19133925437927246
119,RFC,SSL3,max_depth=17,0.9108333333333334,0.1893317699432373
120,RFC,SSL3,max_depth=18,0.9158333333333334,0.19065523147583008
121,RFC,SSL3,max_depth=19,0.9141666666666667,0.18844008445739746
122,RFC,SSL3,max_depth=20,0.9141666666666667,0.19194674491882324
123,Ensemblewatershed,SSL3,num_features=20,0.9916666666666667,79.60620594024658
124,Ensemblewatershed,SSL3,num_features=30,0.9975,80.82908129692078
125,Ensemblewatershed,SSL3,num_features=50,1.0,83.34318161010742
126,watershed,SSL4,NA,0.534375,0.07232952117919922
127,IFT-SUM,SSL4,NA,0.578125,0.027172088623046875
