id,method,dataset,paramters,accuracy,time
0,watershed,SSL1,NA,0.9616985845129059,0.25563788414001465
1,IFT-SUM,SSL1,NA,0.9700249791840133,0.09045171737670898
2,RW,SSL1,beta=1.0,0.9858451290591174,0.010820865631103516
3,RW,SSL1,beta=3.0,0.984179850124896,0.00901341438293457
4,RW,SSL1,beta=5.0,0.984179850124896,0.009169816970825195
5,PW,SSL1,beta=1.0:k=1,0.984179850124896,0.9773604869842529
6,PW,SSL1,beta=1.0:k=3,0.9500416319733556,1.4388706684112549
7,PW,SSL1,beta=1.0:k=5,0.9233971690258118,1.8418073654174805
8,PW,SSL1,beta=1.0:k=10,0.8925895087427144,2.7960805892944336
9,PW,SSL1,beta=3.0:k=1,0.984179850124896,0.9459004402160645
10,PW,SSL1,beta=3.0:k=3,0.9500416319733556,1.4061684608459473
11,PW,SSL1,beta=3.0:k=5,0.9275603663613655,1.778529167175293
12,PW,SSL1,beta=3.0:k=10,0.8950874271440467,2.4503979682922363
13,PW,SSL1,beta=5.0:k=1,0.984179850124896,0.9642486572265625
14,PW,SSL1,beta=5.0:k=3,0.9492089925062448,1.4360051155090332
15,PW,SSL1,beta=5.0:k=5,0.9242298084929226,2.012294292449951
16,PW,SSL1,beta=5.0:k=10,0.890924229808493,2.494779586791992
17,SVM,SSL1,C=0.1,0.5104079933388843,0.14159893989562988
18,SVM,SSL1,C=1.0,0.8659450457951707,0.1372535228729248
19,SVM,SSL1,C=3.0,0.9467110741049126,0.11183643341064453
20,1NN,SSL1,NA,0.9700249791840133,0.15570878982543945
21,RFC,SSL1,max_depth=3,0.9542048293089093,0.1457350254058838
22,RFC,SSL1,max_depth=4,0.9592006661115737,0.16156864166259766
23,RFC,SSL1,max_depth=5,0.9608659450457951,0.17228937149047852
24,RFC,SSL1,max_depth=6,0.9666944213155704,0.18120479583740234
25,RFC,SSL1,max_depth=7,0.9641965029142381,0.18737530708312988
