id,method,dataset,paramters,accuracy,time
0,watershed,SSL1,NA,0.9625312239800167,0.2623422145843506
1,IFT-SUM,SSL1,NA,0.97751873438801,0.09249758720397949
2,RW,SSL1,beta=1.0,0.9816819317235637,0.01200413703918457
3,RW,SSL1,beta=3.0,0.9750208159866778,0.009206533432006836
4,RW,SSL1,beta=5.0,0.9750208159866778,0.00919032096862793
5,PW,SSL1,beta=1.0:k=1,0.974188176519567,0.9713315963745117
6,PW,SSL1,beta=1.0:k=3,0.9500416319733556,1.3991825580596924
7,PW,SSL1,beta=1.0:k=5,0.9300582847626978,1.9053869247436523
8,PW,SSL1,beta=1.0:k=10,0.8942547876769359,2.63974666595459
9,PW,SSL1,beta=3.0:k=1,0.974188176519567,0.9680929183959961
10,PW,SSL1,beta=3.0:k=3,0.9500416319733556,1.4275634288787842
11,PW,SSL1,beta=3.0:k=5,0.929225645295587,1.9423246383666992
12,PW,SSL1,beta=3.0:k=10,0.8684429641965029,2.311676263809204
13,PW,SSL1,beta=5.0:k=1,0.974188176519567,0.9644632339477539
14,PW,SSL1,beta=5.0:k=3,0.9542048293089093,1.411041021347046
15,PW,SSL1,beta=5.0:k=5,0.929225645295587,1.9695734977722168
16,PW,SSL1,beta=5.0:k=10,0.8659450457951707,2.681117296218872
17,SVM,SSL1,C=0.1,0.5104079933388843,0.14139223098754883
18,SVM,SSL1,C=1.0,0.8867610324729392,0.1339704990386963
19,SVM,SSL1,C=3.0,0.9250624479600333,0.10277676582336426
20,1NN,SSL1,NA,0.97751873438801,0.15659284591674805
21,RFC,SSL1,max_depth=3,0.9375520399666945,0.14527535438537598
22,RFC,SSL1,max_depth=4,0.9417152373022482,0.1602017879486084
23,RFC,SSL1,max_depth=5,0.9492089925062448,0.171461820602417
24,RFC,SSL1,max_depth=6,0.9492089925062448,0.18001079559326172
25,RFC,SSL1,max_depth=7,0.95503746877602,0.1860826015472412
26,RFC,SSL1,max_depth=8,0.9500416319733556,0.19166898727416992
27,RFC,SSL1,max_depth=9,0.951706910907577,0.19356918334960938
28,RFC,SSL1,max_depth=10,0.9508742714404663,0.19310665130615234
29,RFC,SSL1,max_depth=11,0.95503746877602,0.19343328475952148
30,RFC,SSL1,max_depth=12,0.95503746877602,0.19829344749450684
