id,method,dataset,paramters,accuracy,time
0,watershed,SSL1,NA,0.9725228975853455,0.2581961154937744
1,IFT-SUM,SSL1,NA,0.9716902581182348,0.09220623970031738
2,RW,SSL1,beta=1.0,0.9816819317235637,0.011305570602416992
3,RW,SSL1,beta=3.0,0.9850124895920067,0.009341001510620117
4,RW,SSL1,beta=5.0,0.9850124895920067,0.00914907455444336
5,PW,SSL1,beta=1.0:k=1,0.9850124895920067,0.9717264175415039
6,PW,SSL1,beta=1.0:k=3,0.9500416319733556,1.4046039581298828
7,PW,SSL1,beta=1.0:k=5,0.925895087427144,2.057440996170044
8,PW,SSL1,beta=1.0:k=10,0.8817651956702748,2.3768322467803955
9,PW,SSL1,beta=3.0:k=1,0.9850124895920067,0.9855682849884033
10,PW,SSL1,beta=3.0:k=3,0.9500416319733556,1.4345664978027344
11,PW,SSL1,beta=3.0:k=5,0.9267277268942548,1.8847386837005615
12,PW,SSL1,beta=3.0:k=10,0.8767693588676103,2.3857011795043945
13,PW,SSL1,beta=5.0:k=1,0.9850124895920067,0.9267230033874512
14,PW,SSL1,beta=5.0:k=3,0.9500416319733556,1.4338915348052979
15,PW,SSL1,beta=5.0:k=5,0.9267277268942548,1.8534979820251465
16,PW,SSL1,beta=5.0:k=10,0.8792672772689425,2.730254650115967
17,SVM,SSL1,C=0.1,0.5104079933388843,0.14162611961364746
18,SVM,SSL1,C=1.0,0.9375520399666945,0.13855600357055664
19,SVM,SSL1,C=3.0,0.9417152373022482,0.1062314510345459
20,1NN,SSL1,NA,0.9716902581182348,0.15632104873657227
21,RFC,SSL1,max_depth=3,0.9375520399666945,0.14576935768127441
22,RFC,SSL1,max_depth=4,0.9450457951706911,0.15981340408325195
23,RFC,SSL1,max_depth=5,0.95503746877602,0.17059922218322754
24,RFC,SSL1,max_depth=6,0.9525395503746877,0.1791079044342041
25,RFC,SSL1,max_depth=7,0.9467110741049126,0.1844947338104248
26,RFC,SSL1,max_depth=8,0.951706910907577,0.1909794807434082
27,RFC,SSL1,max_depth=9,0.9525395503746877,0.19265389442443848
28,RFC,SSL1,max_depth=10,0.9567027477102414,0.19529294967651367
29,RFC,SSL1,max_depth=11,0.9533721898417985,0.19429993629455566
30,RFC,SSL1,max_depth=12,0.951706910907577,0.1956334114074707
31,RFC,SSL1,max_depth=13,0.9458784346378019,0.19536948204040527
32,RFC,SSL1,max_depth=14,0.9542048293089093,0.1976923942565918
33,RFC,SSL1,max_depth=15,0.9500416319733556,0.19569635391235352
34,RFC,SSL1,max_depth=16,0.95503746877602,0.1963510513305664
35,RFC,SSL1,max_depth=17,0.9508742714404663,0.19340801239013672
36,RFC,SSL1,max_depth=18,0.9533721898417985,0.19733929634094238
37,RFC,SSL1,max_depth=19,0.9433805162364696,0.1943068504333496
38,RFC,SSL1,max_depth=20,0.9567027477102414,0.19791054725646973
39,Ensemblewatershed,SSL1,num_features=20,0.9825145711906744,26.537442922592163
40,Ensemblewatershed,SSL1,num_features=30,0.9800166527893422,26.69170594215393
41,Ensemblewatershed,SSL1,num_features=50,0.9800166527893422,27.03128409385681
42,watershed,SSL2,NA,0.9625,0.2907094955444336
43,IFT-SUM,SSL2,NA,0.9533333333333334,0.10358595848083496
44,RW,SSL2,beta=1.0,0.89,0.019817113876342773
45,RW,SSL2,beta=3.0,0.9,0.07249212265014648
46,RW,SSL2,beta=5.0,0.8891666666666667,0.02576422691345215
47,PW,SSL2,beta=1.0:k=1,0.8933333333333333,1.087477445602417
48,PW,SSL2,beta=1.0:k=3,0.8258333333333333,1.9495866298675537
49,PW,SSL2,beta=1.0:k=5,0.7716666666666666,2.633894681930542
50,PW,SSL2,beta=1.0:k=10,0.6316666666666667,3.828199863433838
51,PW,SSL2,beta=3.0:k=1,0.8933333333333333,1.0849967002868652
52,PW,SSL2,beta=3.0:k=3,0.8275,2.059483289718628
53,PW,SSL2,beta=3.0:k=5,0.765,2.724540948867798
54,PW,SSL2,beta=3.0:k=10,0.6333333333333333,3.7623493671417236
55,PW,SSL2,beta=5.0:k=1,0.8933333333333333,1.0782814025878906
56,PW,SSL2,beta=5.0:k=3,0.8258333333333333,2.084859848022461
57,PW,SSL2,beta=5.0:k=5,0.7666666666666667,2.568527936935425
58,PW,SSL2,beta=5.0:k=10,0.6416666666666667,4.1042609214782715
59,SVM,SSL2,C=0.1,0.8,0.06503796577453613
60,SVM,SSL2,C=1.0,0.8675,0.0646212100982666
61,SVM,SSL2,C=3.0,0.9033333333333333,0.05860328674316406
62,1NN,SSL2,NA,0.9533333333333334,0.1582777500152588
63,RFC,SSL2,max_depth=3,0.8483333333333334,0.14728784561157227
64,RFC,SSL2,max_depth=4,0.8591666666666666,0.16223812103271484
65,RFC,SSL2,max_depth=5,0.87,0.17438578605651855
66,RFC,SSL2,max_depth=6,0.8766666666666667,0.18653416633605957
67,RFC,SSL2,max_depth=7,0.8716666666666667,0.19277620315551758
68,RFC,SSL2,max_depth=8,0.8775,0.19993305206298828
69,RFC,SSL2,max_depth=9,0.8791666666666667,0.20202922821044922
70,RFC,SSL2,max_depth=10,0.8766666666666667,0.2028656005859375
71,RFC,SSL2,max_depth=11,0.8783333333333333,0.2076263427734375
72,RFC,SSL2,max_depth=12,0.8758333333333334,0.19879722595214844
73,RFC,SSL2,max_depth=13,0.875,0.20520830154418945
74,RFC,SSL2,max_depth=14,0.87,0.21380376815795898
75,RFC,SSL2,max_depth=15,0.8791666666666667,0.20437288284301758
76,RFC,SSL2,max_depth=16,0.8716666666666667,0.20708966255187988
77,RFC,SSL2,max_depth=17,0.8741666666666666,0.2044992446899414
78,RFC,SSL2,max_depth=18,0.8783333333333333,0.20012474060058594
79,RFC,SSL2,max_depth=19,0.8766666666666667,0.20260119438171387
80,RFC,SSL2,max_depth=20,0.8766666666666667,0.20531582832336426
81,Ensemblewatershed,SSL2,num_features=20,0.8916666666666667,29.91755175590515
82,Ensemblewatershed,SSL2,num_features=30,0.9033333333333333,30.039424419403076
83,Ensemblewatershed,SSL2,num_features=50,0.9066666666666666,30.223233222961426
84,watershed,SSL3,NA,1.0,0.7945623397827148
85,IFT-SUM,SSL3,NA,0.9708333333333333,0.2218172550201416
86,RW,SSL3,beta=1.0,0.8141666666666667,0.028509140014648438
87,RW,SSL3,beta=3.0,0.9366666666666666,0.19221043586730957
88,RW,SSL3,beta=5.0,0.9733333333333334,0.42157602310180664
89,PW,SSL3,beta=1.0:k=1,0.7125,2.7736659049987793
90,PW,SSL3,beta=1.0:k=3,0.59,4.74366569519043
91,PW,SSL3,beta=1.0:k=5,0.5566666666666666,6.59166693687439
92,PW,SSL3,beta=1.0:k=10,0.54,10.258944988250732
93,PW,SSL3,beta=3.0:k=1,0.7125,2.8052077293395996
94,PW,SSL3,beta=3.0:k=3,0.58,4.661416530609131
95,PW,SSL3,beta=3.0:k=5,0.5483333333333333,6.416555643081665
96,PW,SSL3,beta=3.0:k=10,0.54,9.90053915977478
97,PW,SSL3,beta=5.0:k=1,0.7125,2.788686752319336
98,PW,SSL3,beta=5.0:k=3,0.5866666666666667,4.658189058303833
99,PW,SSL3,beta=5.0:k=5,0.5591666666666667,6.404951333999634
100,PW,SSL3,beta=5.0:k=10,0.565,11.261197805404663
101,SVM,SSL3,C=0.1,0.5275,0.13944029808044434
102,SVM,SSL3,C=1.0,0.5475,0.13797903060913086
103,SVM,SSL3,C=3.0,0.5633333333333334,0.1380481719970703
104,1NN,SSL3,NA,0.9708333333333333,0.10770797729492188
105,RFC,SSL3,max_depth=3,0.8408333333333333,0.14676642417907715
106,RFC,SSL3,max_depth=4,0.8575,0.16067218780517578
107,RFC,SSL3,max_depth=5,0.8875,0.17203998565673828
108,RFC,SSL3,max_depth=6,0.9016666666666666,0.18134403228759766
109,RFC,SSL3,max_depth=7,0.925,0.18582558631896973
110,RFC,SSL3,max_depth=8,0.91,0.1889491081237793
111,RFC,SSL3,max_depth=9,0.9241666666666667,0.18926739692687988
112,RFC,SSL3,max_depth=10,0.9325,0.19341087341308594
113,RFC,SSL3,max_depth=11,0.9283333333333333,0.19075632095336914
114,RFC,SSL3,max_depth=12,0.9266666666666666,0.1951909065246582
115,RFC,SSL3,max_depth=13,0.9291666666666667,0.19256138801574707
116,RFC,SSL3,max_depth=14,0.9275,0.20220351219177246
117,RFC,SSL3,max_depth=15,0.9383333333333334,0.19705796241760254
118,RFC,SSL3,max_depth=16,0.9283333333333333,0.1930687427520752
119,RFC,SSL3,max_depth=17,0.9283333333333333,0.19257211685180664
120,RFC,SSL3,max_depth=18,0.9283333333333333,0.1932380199432373
121,RFC,SSL3,max_depth=19,0.9258333333333333,0.19233059883117676
122,RFC,SSL3,max_depth=20,0.9258333333333333,0.19338440895080566
123,Ensemblewatershed,SSL3,num_features=20,0.9975,79.43289756774902
124,Ensemblewatershed,SSL3,num_features=30,0.9966666666666667,80.51893901824951
125,Ensemblewatershed,SSL3,num_features=50,1.0,82.91366577148438
126,watershed,SSL4,NA,0.525,0.07325482368469238
127,IFT-SUM,SSL4,NA,0.525,0.027087688446044922
128,RW,SSL4,beta=1.0,0.53125,0.008450508117675781
129,RW,SSL4,beta=3.0,0.51875,0.012090444564819336
