id,method,dataset,paramters,accuracy,time
0,watershed,SSL1,NA,0.9725228975853455,0.25481176376342773
1,IFT-SUM,SSL1,NA,0.9650291423813488,0.08993864059448242
2,RW,SSL1,beta=1.0,0.984179850124896,0.011656045913696289
3,RW,SSL1,beta=3.0,0.9883430474604497,0.009182453155517578
4,RW,SSL1,beta=5.0,0.9883430474604497,0.009155988693237305
5,PW,SSL1,beta=1.0:k=1,0.9883430474604497,0.9726622104644775
6,PW,SSL1,beta=1.0:k=3,0.9383846794338052,1.3622140884399414
7,PW,SSL1,beta=1.0:k=5,0.906744379683597,1.8847575187683105
8,PW,SSL1,beta=1.0:k=10,0.8501248959200666,2.5842182636260986
9,PW,SSL1,beta=3.0:k=1,0.9883430474604497,0.9324979782104492
10,PW,SSL1,beta=3.0:k=3,0.9433805162364696,1.460580587387085
11,PW,SSL1,beta=3.0:k=5,0.9092422980849292,1.8499813079833984
12,PW,SSL1,beta=3.0:k=10,0.8534554537885096,2.2522740364074707
13,PW,SSL1,beta=5.0:k=1,0.9883430474604497,0.9717292785644531
14,PW,SSL1,beta=5.0:k=3,0.9417152373022482,1.4688308238983154
15,PW,SSL1,beta=5.0:k=5,0.9084096586178185,1.8238224983215332
16,PW,SSL1,beta=5.0:k=10,0.8576186511240633,2.5376617908477783
17,SVM,SSL1,C=0.1,0.5104079933388843,0.14106440544128418
18,SVM,SSL1,C=1.0,0.8834304746044963,0.13753700256347656
19,SVM,SSL1,C=3.0,0.9375520399666945,0.10903358459472656
20,1NN,SSL1,NA,0.9650291423813488,0.15665054321289062
21,RFC,SSL1,max_depth=3,0.9283930058284763,0.14614057540893555
22,RFC,SSL1,max_depth=4,0.9408825978351374,0.15968894958496094
23,RFC,SSL1,max_depth=5,0.9525395503746877,0.1702570915222168
24,RFC,SSL1,max_depth=6,0.951706910907577,0.18078160285949707
25,RFC,SSL1,max_depth=7,0.9533721898417985,0.1862947940826416
26,RFC,SSL1,max_depth=8,0.9608659450457951,0.19339704513549805
27,RFC,SSL1,max_depth=9,0.9567027477102414,0.19423270225524902
28,RFC,SSL1,max_depth=10,0.9600333055786844,0.19819211959838867
29,RFC,SSL1,max_depth=11,0.9567027477102414,0.19360566139221191
30,RFC,SSL1,max_depth=12,0.9542048293089093,0.19519424438476562
31,RFC,SSL1,max_depth=13,0.951706910907577,0.19720911979675293
32,RFC,SSL1,max_depth=14,0.95503746877602,0.19995927810668945
33,RFC,SSL1,max_depth=15,0.9616985845129059,0.19620847702026367
34,RFC,SSL1,max_depth=16,0.9567027477102414,0.19968175888061523
35,RFC,SSL1,max_depth=17,0.9500416319733556,0.1951751708984375
36,RFC,SSL1,max_depth=18,0.9675270607826811,0.19688868522644043
37,RFC,SSL1,max_depth=19,0.9542048293089093,0.19818925857543945
38,RFC,SSL1,max_depth=20,0.9567027477102414,0.1995100975036621
39,Ensemblewatershed,SSL1,num_features=20,0.984179850124896,26.603596448898315
40,Ensemblewatershed,SSL1,num_features=30,0.9816819317235637,26.561171293258667
41,Ensemblewatershed,SSL1,num_features=50,0.980849292256453,26.916248083114624
42,watershed,SSL2,NA,0.9591666666666666,0.29270100593566895
43,IFT-SUM,SSL2,NA,0.96,0.10172653198242188
44,RW,SSL2,beta=1.0,0.9033333333333333,0.020596027374267578
45,RW,SSL2,beta=3.0,0.9183333333333333,0.07393050193786621
46,RW,SSL2,beta=5.0,0.8991666666666667,0.02626180648803711
47,PW,SSL2,beta=1.0:k=1,0.9025,1.080216646194458
48,PW,SSL2,beta=1.0:k=3,0.8675,2.0869970321655273
49,PW,SSL2,beta=1.0:k=5,0.805,2.63252329826355
50,PW,SSL2,beta=1.0:k=10,0.6758333333333333,4.376352310180664
51,PW,SSL2,beta=3.0:k=1,0.9025,1.0782766342163086
52,PW,SSL2,beta=3.0:k=3,0.8675,1.9581494331359863
53,PW,SSL2,beta=3.0:k=5,0.8025,2.55289626121521
54,PW,SSL2,beta=3.0:k=10,0.6583333333333333,4.1196911334991455
55,PW,SSL2,beta=5.0:k=1,0.9025,1.0915679931640625
56,PW,SSL2,beta=5.0:k=3,0.8683333333333333,2.0202131271362305
57,PW,SSL2,beta=5.0:k=5,0.8025,2.4875831604003906
58,PW,SSL2,beta=5.0:k=10,0.6758333333333333,3.8487470149993896
59,SVM,SSL2,C=0.1,0.8,0.06664299964904785
60,SVM,SSL2,C=1.0,0.8566666666666667,0.06667637825012207
61,SVM,SSL2,C=3.0,0.915,0.0591578483581543
62,1NN,SSL2,NA,0.9608333333333333,0.15725016593933105
63,RFC,SSL2,max_depth=3,0.8566666666666667,0.14721918106079102
64,RFC,SSL2,max_depth=4,0.8675,0.16202116012573242
65,RFC,SSL2,max_depth=5,0.8716666666666667,0.17267489433288574
66,RFC,SSL2,max_depth=6,0.8783333333333333,0.18122005462646484
67,RFC,SSL2,max_depth=7,0.8833333333333333,0.18555688858032227
68,RFC,SSL2,max_depth=8,0.89,0.19176554679870605
69,RFC,SSL2,max_depth=9,0.8825,0.19273781776428223
70,RFC,SSL2,max_depth=10,0.8866666666666667,0.1994922161102295
71,RFC,SSL2,max_depth=11,0.8883333333333333,0.19772934913635254
72,RFC,SSL2,max_depth=12,0.8775,0.19356703758239746
73,RFC,SSL2,max_depth=13,0.8858333333333334,0.19447040557861328
74,RFC,SSL2,max_depth=14,0.8791666666666667,0.1962265968322754
75,RFC,SSL2,max_depth=15,0.885,0.20069098472595215
76,RFC,SSL2,max_depth=16,0.8833333333333333,0.19445323944091797
77,RFC,SSL2,max_depth=17,0.8841666666666667,0.19463801383972168
78,RFC,SSL2,max_depth=18,0.88,0.19997262954711914
79,RFC,SSL2,max_depth=19,0.8825,0.19223999977111816
80,RFC,SSL2,max_depth=20,0.8775,0.20262742042541504
81,Ensemblewatershed,SSL2,num_features=20,0.9125,30.012254238128662
82,Ensemblewatershed,SSL2,num_features=30,0.9108333333333334,30.091736316680908
83,Ensemblewatershed,SSL2,num_features=50,0.9291666666666667,30.39998769760132
84,watershed,SSL3,NA,0.9975,0.7976911067962646
85,IFT-SUM,SSL3,NA,0.9558333333333333,0.2218480110168457
86,RW,SSL3,beta=1.0,0.7883333333333333,0.02875041961669922
87,RW,SSL3,beta=3.0,0.91,0.18866825103759766
88,RW,SSL3,beta=5.0,0.97,0.4154493808746338
89,PW,SSL3,beta=1.0:k=1,0.7191666666666666,2.783902406692505
90,PW,SSL3,beta=1.0:k=3,0.5783333333333334,4.493098735809326
91,PW,SSL3,beta=1.0:k=5,0.515,6.309630870819092
