id,method,dataset,paramters,accuracy,time
0,watershed,SSL1,NA,0.9766860949208993,0.2598390579223633
1,IFT-SUM,SSL1,NA,0.9658617818484596,0.09278321266174316
2,RW,SSL1,beta=1.0,0.97751873438801,0.011233806610107422
3,RW,SSL1,beta=3.0,0.9733555370524563,0.009107112884521484
4,RW,SSL1,beta=5.0,0.9733555370524563,0.009044408798217773
5,PW,SSL1,beta=1.0:k=1,0.9758534554537885,0.9743938446044922
6,PW,SSL1,beta=1.0:k=3,0.951706910907577,1.4196066856384277
7,PW,SSL1,beta=1.0:k=5,0.9150707743547044,2.028604507446289
8,PW,SSL1,beta=1.0:k=10,0.8726061615320566,2.3690927028656006
9,PW,SSL1,beta=3.0:k=1,0.9758534554537885,0.9333324432373047
10,PW,SSL1,beta=3.0:k=3,0.9492089925062448,1.4123501777648926
11,PW,SSL1,beta=3.0:k=5,0.9117402164862615,1.891923427581787
12,PW,SSL1,beta=3.0:k=10,0.8784346378018318,2.4291903972625732
13,PW,SSL1,beta=5.0:k=1,0.9758534554537885,0.9733312129974365
14,PW,SSL1,beta=5.0:k=3,0.9467110741049126,1.4166762828826904
15,PW,SSL1,beta=5.0:k=5,0.9134054954204829,1.917907953262329
16,PW,SSL1,beta=5.0:k=10,0.8692756036636137,2.6154003143310547
17,SVM,SSL1,C=0.1,0.5104079933388843,0.14156007766723633
18,SVM,SSL1,C=1.0,0.9109075770191507,0.13628077507019043
19,SVM,SSL1,C=3.0,0.929225645295587,0.10558581352233887
20,1NN,SSL1,NA,0.9658617818484596,0.15692424774169922
21,RFC,SSL1,max_depth=3,0.9383846794338052,0.14628839492797852
22,RFC,SSL1,max_depth=4,0.9375520399666945,0.16176486015319824
23,RFC,SSL1,max_depth=5,0.9417152373022482,0.17112207412719727
24,RFC,SSL1,max_depth=6,0.9433805162364696,0.1779334545135498
25,RFC,SSL1,max_depth=7,0.9475437135720233,0.1857898235321045
26,RFC,SSL1,max_depth=8,0.9458784346378019,0.19092059135437012
27,RFC,SSL1,max_depth=9,0.9575353871773522,0.19534945487976074
28,RFC,SSL1,max_depth=10,0.951706910907577,0.193589448928833
29,RFC,SSL1,max_depth=11,0.951706910907577,0.19547677040100098
30,RFC,SSL1,max_depth=12,0.9442131557035803,0.19555354118347168
31,RFC,SSL1,max_depth=13,0.9542048293089093,0.19611787796020508
32,RFC,SSL1,max_depth=14,0.9458784346378019,0.20017051696777344
33,RFC,SSL1,max_depth=15,0.9408825978351374,0.19630646705627441
34,RFC,SSL1,max_depth=16,0.9467110741049126,0.19566631317138672
35,RFC,SSL1,max_depth=17,0.9508742714404663,0.19435858726501465
36,RFC,SSL1,max_depth=18,0.9383846794338052,0.19538450241088867
37,RFC,SSL1,max_depth=19,0.9392173189009159,0.19336414337158203
38,RFC,SSL1,max_depth=20,0.9392173189009159,0.19805645942687988
39,Ensemblewatershed,SSL1,num_features=20,0.97751873438801,26.37383270263672
40,Ensemblewatershed,SSL1,num_features=30,0.9750208159866778,26.501128435134888
41,Ensemblewatershed,SSL1,num_features=50,0.9816819317235637,26.852166175842285
42,watershed,SSL2,NA,0.9533333333333334,0.2852029800415039
43,IFT-SUM,SSL2,NA,0.9366666666666666,0.10121560096740723
44,RW,SSL2,beta=1.0,0.8791666666666667,0.020859241485595703
45,RW,SSL2,beta=3.0,0.8908333333333334,0.07201981544494629
46,RW,SSL2,beta=5.0,0.8683333333333333,0.025911808013916016
47,PW,SSL2,beta=1.0:k=1,0.8691666666666666,1.118424892425537
48,PW,SSL2,beta=1.0:k=3,0.825,2.0573151111602783
49,PW,SSL2,beta=1.0:k=5,0.7925,2.755455255508423
50,PW,SSL2,beta=1.0:k=10,0.7275,3.9468626976013184
51,PW,SSL2,beta=3.0:k=1,0.8691666666666666,1.050455093383789
52,PW,SSL2,beta=3.0:k=3,0.8233333333333334,2.0575742721557617
53,PW,SSL2,beta=3.0:k=5,0.7866666666666666,2.7205519676208496
54,PW,SSL2,beta=3.0:k=10,0.7258333333333333,3.7159461975097656
55,PW,SSL2,beta=5.0:k=1,0.8691666666666666,1.081007480621338
56,PW,SSL2,beta=5.0:k=3,0.8233333333333334,2.005495309829712
57,PW,SSL2,beta=5.0:k=5,0.7925,2.574854850769043
58,PW,SSL2,beta=5.0:k=10,0.7283333333333334,3.698265552520752
59,SVM,SSL2,C=0.1,0.8,0.06746840476989746
60,SVM,SSL2,C=1.0,0.8575,0.06429195404052734
61,SVM,SSL2,C=3.0,0.8866666666666667,0.05852198600769043
62,1NN,SSL2,NA,0.9358333333333333,0.15762567520141602
63,RFC,SSL2,max_depth=3,0.855,0.14739751815795898
64,RFC,SSL2,max_depth=4,0.8566666666666667,0.1633002758026123
65,RFC,SSL2,max_depth=5,0.8633333333333333,0.17483854293823242
66,RFC,SSL2,max_depth=6,0.8658333333333333,0.18391752243041992
67,RFC,SSL2,max_depth=7,0.8666666666666667,0.19144129753112793
68,RFC,SSL2,max_depth=8,0.8683333333333333,0.19939970970153809
69,RFC,SSL2,max_depth=9,0.875,0.2046051025390625
70,RFC,SSL2,max_depth=10,0.8716666666666667,0.20775055885314941
71,RFC,SSL2,max_depth=11,0.8716666666666667,0.20787429809570312
72,RFC,SSL2,max_depth=12,0.8666666666666667,0.20465540885925293
73,RFC,SSL2,max_depth=13,0.8716666666666667,0.21266770362854004
74,RFC,SSL2,max_depth=14,0.8683333333333333,0.22577333450317383
75,RFC,SSL2,max_depth=15,0.8675,0.21457886695861816
76,RFC,SSL2,max_depth=16,0.87,0.2076401710510254
77,RFC,SSL2,max_depth=17,0.8675,0.2125084400177002
78,RFC,SSL2,max_depth=18,0.8691666666666666,0.21280932426452637
79,RFC,SSL2,max_depth=19,0.8758333333333334,0.2108290195465088
80,RFC,SSL2,max_depth=20,0.8683333333333333,0.215864896774292
81,Ensemblewatershed,SSL2,num_features=20,0.8858333333333334,29.805745124816895
82,Ensemblewatershed,SSL2,num_features=30,0.8891666666666667,29.858134746551514
83,Ensemblewatershed,SSL2,num_features=50,0.8975,30.08527636528015
84,watershed,SSL3,NA,1.0,0.7925839424133301
85,IFT-SUM,SSL3,NA,0.9558333333333333,0.22009897232055664
86,RW,SSL3,beta=1.0,0.7616666666666667,0.027737140655517578
87,RW,SSL3,beta=3.0,0.87,0.16360735893249512
88,RW,SSL3,beta=5.0,0.9525,0.40456175804138184
89,PW,SSL3,beta=1.0:k=1,0.6708333333333333,2.8014819622039795
90,PW,SSL3,beta=1.0:k=3,0.5691666666666667,4.690041780471802
91,PW,SSL3,beta=1.0:k=5,0.5,6.791150808334351
92,PW,SSL3,beta=1.0:k=10,0.485,10.393381357192993
93,PW,SSL3,beta=3.0:k=1,0.6708333333333333,2.81600284576416
94,PW,SSL3,beta=3.0:k=3,0.5683333333333334,4.586251735687256
95,PW,SSL3,beta=3.0:k=5,0.505,6.72892689704895
96,PW,SSL3,beta=3.0:k=10,0.4791666666666667,9.958436965942383
97,PW,SSL3,beta=5.0:k=1,0.6708333333333333,2.7962615489959717
98,PW,SSL3,beta=5.0:k=3,0.5691666666666667,4.537076473236084
99,PW,SSL3,beta=5.0:k=5,0.5091666666666667,6.641002655029297
100,PW,SSL3,beta=5.0:k=10,0.48083333333333333,10.450246334075928
101,SVM,SSL3,C=0.1,0.5408333333333334,0.14052033424377441
102,SVM,SSL3,C=1.0,0.555,0.13919591903686523
103,SVM,SSL3,C=3.0,0.5666666666666667,0.13855552673339844
104,1NN,SSL3,NA,0.9558333333333333,0.10976481437683105
105,RFC,SSL3,max_depth=3,0.845,0.14651846885681152
106,RFC,SSL3,max_depth=4,0.86,0.16237521171569824
107,RFC,SSL3,max_depth=5,0.8766666666666667,0.1715373992919922
108,RFC,SSL3,max_depth=6,0.8841666666666667,0.18337011337280273
109,RFC,SSL3,max_depth=7,0.8925,0.18568205833435059
110,RFC,SSL3,max_depth=8,0.8783333333333333,0.19032549858093262
111,RFC,SSL3,max_depth=9,0.8816666666666667,0.19432711601257324
112,RFC,SSL3,max_depth=10,0.8883333333333333,0.1955418586730957
113,RFC,SSL3,max_depth=11,0.8933333333333333,0.19542813301086426
114,RFC,SSL3,max_depth=12,0.8858333333333334,0.1948556900024414
115,RFC,SSL3,max_depth=13,0.8891666666666667,0.19222068786621094
116,RFC,SSL3,max_depth=14,0.8958333333333334,0.19394373893737793
117,RFC,SSL3,max_depth=15,0.9,0.1923985481262207
118,RFC,SSL3,max_depth=16,0.8966666666666666,0.20499229431152344
119,RFC,SSL3,max_depth=17,0.8975,0.20060014724731445
120,RFC,SSL3,max_depth=18,0.8983333333333333,0.19658112525939941
121,RFC,SSL3,max_depth=19,0.89,0.19536495208740234
122,RFC,SSL3,max_depth=20,0.88,0.19538116455078125
123,Ensemblewatershed,SSL3,num_features=20,0.9841666666666666,80.02146339416504
124,Ensemblewatershed,SSL3,num_features=30,0.9925,81.4456958770752
125,Ensemblewatershed,SSL3,num_features=50,0.9991666666666666,83.61559295654297
126,watershed,SSL4,NA,0.515625,0.07180476188659668
127,IFT-SUM,SSL4,NA,0.525,0.026795387268066406
128,RW,SSL4,beta=1.0,0.490625,0.008747339248657227
129,RW,SSL4,beta=3.0,0.478125,0.011610746383666992
130,RW,SSL4,beta=5.0,0.478125,0.005416393280029297
131,PW,SSL4,beta=1.0:k=1,0.478125,0.2753276824951172
132,PW,SSL4,beta=1.0:k=3,0.5125,0.47159671783447266
133,PW,SSL4,beta=1.0:k=5,0.50625,0.6029810905456543
134,PW,SSL4,beta=1.0:k=10,0.509375,0.7246608734130859
135,PW,SSL4,beta=3.0:k=1,0.478125,0.26964402198791504
136,PW,SSL4,beta=3.0:k=3,0.5125,0.49437737464904785
137,PW,SSL4,beta=3.0:k=5,0.50625,0.602630615234375
138,PW,SSL4,beta=3.0:k=10,0.50625,0.8750250339508057
139,PW,SSL4,beta=5.0:k=1,0.478125,0.2721683979034424
140,PW,SSL4,beta=5.0:k=3,0.5125,0.457172155380249
141,PW,SSL4,beta=5.0:k=5,0.50625,0.6111283302307129
142,PW,SSL4,beta=5.0:k=10,0.51875,0.7748517990112305
143,SVM,SSL4,C=0.1,0.503125,0.006212949752807617
144,SVM,SSL4,C=1.0,0.534375,0.005753517150878906
145,SVM,SSL4,C=3.0,0.58125,0.005451202392578125
146,1NN,SSL4,NA,0.528125,0.011794805526733398
147,RFC,SSL4,max_depth=3,0.49375,0.09600710868835449
148,RFC,SSL4,max_depth=4,0.515625,0.09877634048461914
149,RFC,SSL4,max_depth=5,0.484375,0.09858179092407227
150,RFC,SSL4,max_depth=6,0.496875,0.09991145133972168
151,RFC,SSL4,max_depth=7,0.525,0.10148024559020996
152,RFC,SSL4,max_depth=8,0.49375,0.09932494163513184
153,RFC,SSL4,max_depth=9,0.496875,0.09795641899108887
154,RFC,SSL4,max_depth=10,0.50625,0.10084652900695801
155,RFC,SSL4,max_depth=11,0.496875,0.09927678108215332
156,RFC,SSL4,max_depth=12,0.528125,0.09960675239562988
