id,method,dataset,paramters,accuracy,time
0,watershed,SSL1,NA,0.9725228975853455,0.25559425354003906
1,IFT-SUM,SSL1,NA,0.9666944213155704,0.09241223335266113
2,RW,SSL1,beta=1.0,0.9833472106577852,0.011550188064575195
3,RW,SSL1,beta=3.0,0.9783513738551207,0.009370088577270508
4,RW,SSL1,beta=5.0,0.9783513738551207,0.008964300155639648
5,PW,SSL1,beta=1.0:k=1,0.9766860949208993,0.9685075283050537
6,PW,SSL1,beta=1.0:k=3,0.9400499583680266,1.4335389137268066
7,PW,SSL1,beta=1.0:k=5,0.9125728559533722,1.92909836769104
8,PW,SSL1,beta=1.0:k=10,0.8559533721898418,2.60589861869812
9,PW,SSL1,beta=3.0:k=1,0.9766860949208993,0.9313275814056396
10,PW,SSL1,beta=3.0:k=3,0.9383846794338052,1.4549508094787598
11,PW,SSL1,beta=3.0:k=5,0.9125728559533722,1.9804036617279053
12,PW,SSL1,beta=3.0:k=10,0.8659450457951707,2.522304058074951
13,PW,SSL1,beta=5.0:k=1,0.9766860949208993,0.9673399925231934
14,PW,SSL1,beta=5.0:k=3,0.9375520399666945,1.3250737190246582
15,PW,SSL1,beta=5.0:k=5,0.9109075770191507,2.0135459899902344
16,PW,SSL1,beta=5.0:k=10,0.8401332223147377,2.4991261959075928
17,SVM,SSL1,C=0.1,0.5104079933388843,0.14139366149902344
18,SVM,SSL1,C=1.0,0.93255620316403,0.13696503639221191
19,SVM,SSL1,C=3.0,0.9408825978351374,0.10463309288024902
20,1NN,SSL1,NA,0.9658617818484596,0.15819191932678223
21,RFC,SSL1,max_depth=3,0.9533721898417985,0.14642119407653809
22,RFC,SSL1,max_depth=4,0.9542048293089093,0.16022372245788574
23,RFC,SSL1,max_depth=5,0.9533721898417985,0.17101192474365234
24,RFC,SSL1,max_depth=6,0.9575353871773522,0.18043851852416992
25,RFC,SSL1,max_depth=7,0.9600333055786844,0.18757176399230957
26,RFC,SSL1,max_depth=8,0.9658617818484596,0.19254589080810547
27,RFC,SSL1,max_depth=9,0.9592006661115737,0.19245433807373047
28,RFC,SSL1,max_depth=10,0.9658617818484596,0.1963958740234375
29,RFC,SSL1,max_depth=11,0.958368026644463,0.19486069679260254
30,RFC,SSL1,max_depth=12,0.958368026644463,0.1964414119720459
31,RFC,SSL1,max_depth=13,0.9633638634471274,0.19446468353271484
32,RFC,SSL1,max_depth=14,0.9650291423813488,0.21031618118286133
33,RFC,SSL1,max_depth=15,0.9641965029142381,0.19892191886901855
34,RFC,SSL1,max_depth=16,0.9592006661115737,0.19559812545776367
35,RFC,SSL1,max_depth=17,0.9633638634471274,0.1967918872833252
36,RFC,SSL1,max_depth=18,0.9608659450457951,0.19678902626037598
37,RFC,SSL1,max_depth=19,0.9650291423813488,0.19574713706970215
38,RFC,SSL1,max_depth=20,0.9533721898417985,0.19364047050476074
39,Ensemblewatershed,SSL1,num_features=20,0.9825145711906744,26.527686595916748
40,Ensemblewatershed,SSL1,num_features=30,0.984179850124896,26.562713384628296
41,Ensemblewatershed,SSL1,num_features=50,0.9833472106577852,26.867002964019775
42,watershed,SSL2,NA,0.9425,0.2886486053466797
43,IFT-SUM,SSL2,NA,0.945,0.10083866119384766
44,RW,SSL2,beta=1.0,0.8975,0.01987171173095703
45,RW,SSL2,beta=3.0,0.9083333333333333,0.07084465026855469
