id,method,dataset,paramters,accuracy,time
0,watershed,SSL1,NA,0.9608659450457951,0.2568225860595703
1,IFT-SUM,SSL1,NA,0.9683597002497918,0.09126615524291992
2,RW,SSL1,beta=1.0,0.9816819317235637,0.011809587478637695
3,RW,SSL1,beta=3.0,0.980849292256453,0.009570598602294922
4,RW,SSL1,beta=5.0,0.980849292256453,0.009193897247314453
5,PW,SSL1,beta=1.0:k=1,0.9816819317235637,0.9781770706176758
6,PW,SSL1,beta=1.0:k=3,0.9508742714404663,1.3760144710540771
7,PW,SSL1,beta=1.0:k=5,0.9167360532889259,1.7140934467315674
8,PW,SSL1,beta=1.0:k=10,0.8892589508742714,2.415764331817627
9,PW,SSL1,beta=3.0:k=1,0.9816819317235637,0.9385941028594971
10,PW,SSL1,beta=3.0:k=3,0.9492089925062448,1.4800004959106445
11,PW,SSL1,beta=3.0:k=5,0.9167360532889259,2.014397144317627
12,PW,SSL1,beta=3.0:k=10,0.8892589508742714,2.348119020462036
13,PW,SSL1,beta=5.0:k=1,0.9816819317235637,0.9656946659088135
14,PW,SSL1,beta=5.0:k=3,0.9525395503746877,1.3863248825073242
15,PW,SSL1,beta=5.0:k=5,0.9175686927560366,1.795055866241455
16,PW,SSL1,beta=5.0:k=10,0.8934221482098251,2.5940399169921875
17,SVM,SSL1,C=0.1,0.5104079933388843,0.14170122146606445
18,SVM,SSL1,C=1.0,0.8800999167360533,0.1371607780456543
19,SVM,SSL1,C=3.0,0.929225645295587,0.10656929016113281
20,1NN,SSL1,NA,0.9683597002497918,0.15639495849609375
21,RFC,SSL1,max_depth=3,0.9475437135720233,0.14887213706970215
22,RFC,SSL1,max_depth=4,0.95503746877602,0.16086411476135254
23,RFC,SSL1,max_depth=5,0.9616985845129059,0.17043566703796387
24,RFC,SSL1,max_depth=6,0.9600333055786844,0.1817021369934082
25,RFC,SSL1,max_depth=7,0.958368026644463,0.18816280364990234
26,RFC,SSL1,max_depth=8,0.9592006661115737,0.19375824928283691
27,RFC,SSL1,max_depth=9,0.9616985845129059,0.1934218406677246
28,RFC,SSL1,max_depth=10,0.9616985845129059,0.1955704689025879
29,RFC,SSL1,max_depth=11,0.9633638634471274,0.19756174087524414
30,RFC,SSL1,max_depth=12,0.95503746877602,0.19615411758422852
31,RFC,SSL1,max_depth=13,0.9592006661115737,0.1972503662109375
32,RFC,SSL1,max_depth=14,0.9616985845129059,0.1965639591217041
33,RFC,SSL1,max_depth=15,0.9658617818484596,0.19709229469299316
34,RFC,SSL1,max_depth=16,0.9592006661115737,0.19989967346191406
35,RFC,SSL1,max_depth=17,0.9650291423813488,0.19480228424072266
36,RFC,SSL1,max_depth=18,0.9683597002497918,0.19812321662902832
37,RFC,SSL1,max_depth=19,0.9608659450457951,0.19873809814453125
38,RFC,SSL1,max_depth=20,0.9600333055786844,0.1974325180053711
39,Ensemblewatershed,SSL1,num_features=20,0.9833472106577852,26.418147563934326
40,Ensemblewatershed,SSL1,num_features=30,0.974188176519567,26.637059450149536
41,Ensemblewatershed,SSL1,num_features=50,0.9800166527893422,26.99044632911682
