id,method,dataset,paramters,accuracy,time
0,watershed,SSL1,NA,0.9725228975853455,0.275357723236084
1,IFT-SUM,SSL1,NA,0.9725228975853455,0.09658241271972656
2,RW,SSL1,beta=1.0,0.9833472106577852,0.01237940788269043
3,RW,SSL1,beta=3.0,0.9825145711906744,0.00993204116821289
4,RW,SSL1,beta=5.0,0.9825145711906744,0.009713888168334961
5,PW,SSL1,beta=1.0:k=1,0.980849292256453,1.0362961292266846
6,PW,SSL1,beta=1.0:k=3,0.9400499583680266,1.500720739364624
7,PW,SSL1,beta=1.0:k=5,0.9117402164862615,2.0705699920654297
8,PW,SSL1,beta=1.0:k=10,0.8900915903413822,2.552405834197998
9,PW,SSL1,beta=3.0:k=1,0.980849292256453,0.9945201873779297
10,PW,SSL1,beta=3.0:k=3,0.9442131557035803,1.5362520217895508
11,PW,SSL1,beta=3.0:k=5,0.9109075770191507,2.0819661617279053
12,PW,SSL1,beta=3.0:k=10,0.8800999167360533,2.712491273880005
13,PW,SSL1,beta=5.0:k=1,0.980849292256453,0.9895565509796143
14,PW,SSL1,beta=5.0:k=3,0.9442131557035803,1.522094964981079
15,PW,SSL1,beta=5.0:k=5,0.9134054954204829,2.068546772003174
16,PW,SSL1,beta=5.0:k=10,0.8800999167360533,2.6274147033691406
17,SVM,SSL1,C=0.1,0.5104079933388843,0.15198326110839844
18,SVM,SSL1,C=1.0,0.9200666111573689,0.14429283142089844
19,SVM,SSL1,C=3.0,0.922564529558701,0.11203432083129883
20,1NN,SSL1,NA,0.9725228975853455,0.16376256942749023
21,RFC,SSL1,max_depth=3,0.9317235636969192,0.15350747108459473
22,RFC,SSL1,max_depth=4,0.9500416319733556,0.1685318946838379
23,RFC,SSL1,max_depth=5,0.9542048293089093,0.17995691299438477
24,RFC,SSL1,max_depth=6,0.9575353871773522,0.19093060493469238
25,RFC,SSL1,max_depth=7,0.9558701082431307,0.19635725021362305
26,RFC,SSL1,max_depth=8,0.9616985845129059,0.20112371444702148
27,RFC,SSL1,max_depth=9,0.9533721898417985,0.1999509334564209
28,RFC,SSL1,max_depth=10,0.9658617818484596,0.20502901077270508
29,RFC,SSL1,max_depth=11,0.9508742714404663,0.20541071891784668
30,RFC,SSL1,max_depth=12,0.958368026644463,0.2097318172454834
31,RFC,SSL1,max_depth=13,0.9683597002497918,0.20707988739013672
32,RFC,SSL1,max_depth=14,0.9633638634471274,0.20549702644348145
33,RFC,SSL1,max_depth=15,0.9542048293089093,0.20727825164794922
34,RFC,SSL1,max_depth=16,0.9592006661115737,0.2068157196044922
35,RFC,SSL1,max_depth=17,0.9700249791840133,0.2074296474456787
36,RFC,SSL1,max_depth=18,0.9616985845129059,0.20654010772705078
37,RFC,SSL1,max_depth=19,0.9683597002497918,0.2100226879119873
38,RFC,SSL1,max_depth=20,0.9616985845129059,0.20353364944458008
39,Ensemblewatershed,SSL1,num_features=20,0.9766860949208993,27.07447576522827
40,Ensemblewatershed,SSL1,num_features=30,0.9783513738551207,26.576834440231323
41,Ensemblewatershed,SSL1,num_features=50,0.984179850124896,26.895681142807007
42,watershed,SSL2,NA,0.9666666666666667,0.28755855560302734
