id,method,dataset,paramters,accuracy,time
0,watershed,SSL1,NA,0.9400499583680266,0.2609517574310303
1,IFT-SUM,SSL1,NA,0.9625312239800167,0.0936124324798584
2,RW,SSL1,beta=1.0,0.9683597002497918,0.012270689010620117
3,RW,SSL1,beta=3.0,0.9700249791840133,0.009546756744384766
4,RW,SSL1,beta=5.0,0.9700249791840133,0.008966922760009766
5,PW,SSL1,beta=1.0:k=1,0.9691923397169026,0.9870483875274658
6,PW,SSL1,beta=1.0:k=3,0.9442131557035803,1.4454329013824463
7,PW,SSL1,beta=1.0:k=5,0.9175686927560366,1.6053807735443115
8,PW,SSL1,beta=1.0:k=10,0.8859283930058285,2.2552521228790283
9,PW,SSL1,beta=3.0:k=1,0.9691923397169026,0.9900572299957275
10,PW,SSL1,beta=3.0:k=3,0.9458784346378019,1.407186508178711
11,PW,SSL1,beta=3.0:k=5,0.9150707743547044,1.6330156326293945
12,PW,SSL1,beta=3.0:k=10,0.8792672772689425,2.5691978931427
13,PW,SSL1,beta=5.0:k=1,0.9691923397169026,0.9741466045379639
14,PW,SSL1,beta=5.0:k=3,0.9450457951706911,1.3683035373687744
15,PW,SSL1,beta=5.0:k=5,0.9167360532889259,1.6318044662475586
16,PW,SSL1,beta=5.0:k=10,0.8817651956702748,2.38517427444458
17,SVM,SSL1,C=0.1,0.5104079933388843,0.14219379425048828
18,SVM,SSL1,C=1.0,0.8975853455453788,0.13684582710266113
19,SVM,SSL1,C=3.0,0.9150707743547044,0.10539793968200684
20,1NN,SSL1,NA,0.9625312239800167,0.1577143669128418
21,RFC,SSL1,max_depth=3,0.9358867610324729,0.14787793159484863
22,RFC,SSL1,max_depth=4,0.9433805162364696,0.1616382598876953
23,RFC,SSL1,max_depth=5,0.9525395503746877,0.1719951629638672
24,RFC,SSL1,max_depth=6,0.9567027477102414,0.18003129959106445
25,RFC,SSL1,max_depth=7,0.9608659450457951,0.1854093074798584
26,RFC,SSL1,max_depth=8,0.9467110741049126,0.19299793243408203
27,RFC,SSL1,max_depth=9,0.9600333055786844,0.19319391250610352
28,RFC,SSL1,max_depth=10,0.9575353871773522,0.19702672958374023
29,RFC,SSL1,max_depth=11,0.9542048293089093,0.19642996788024902
30,RFC,SSL1,max_depth=12,0.948376353039134,0.19815587997436523
31,RFC,SSL1,max_depth=13,0.9575353871773522,0.19600343704223633
32,RFC,SSL1,max_depth=14,0.9575353871773522,0.20117926597595215
33,RFC,SSL1,max_depth=15,0.9658617818484596,0.19769597053527832
34,RFC,SSL1,max_depth=16,0.9542048293089093,0.1987166404724121
35,RFC,SSL1,max_depth=17,0.951706910907577,0.19688773155212402
36,RFC,SSL1,max_depth=18,0.9592006661115737,0.19905757904052734
37,RFC,SSL1,max_depth=19,0.9567027477102414,0.19758844375610352
38,RFC,SSL1,max_depth=20,0.958368026644463,0.19681453704833984
39,Ensemblewatershed,SSL1,num_features=20,0.9675270607826811,26.856959581375122
40,Ensemblewatershed,SSL1,num_features=30,0.9691923397169026,27.11644172668457
41,Ensemblewatershed,SSL1,num_features=50,0.9708576186511241,27.557692527770996
42,watershed,SSL2,NA,0.955,0.2817349433898926
43,IFT-SUM,SSL2,NA,0.9458333333333333,0.10114669799804688
44,RW,SSL2,beta=1.0,0.8816666666666667,0.020835161209106445
45,RW,SSL2,beta=3.0,0.8891666666666667,0.07418203353881836
46,RW,SSL2,beta=5.0,0.8758333333333334,0.02659440040588379
47,PW,SSL2,beta=1.0:k=1,0.8775,1.0882625579833984
48,PW,SSL2,beta=1.0:k=3,0.8358333333333333,2.007758140563965
49,PW,SSL2,beta=1.0:k=5,0.8108333333333333,2.5697968006134033
50,PW,SSL2,beta=1.0:k=10,0.7666666666666667,3.9760639667510986
51,PW,SSL2,beta=3.0:k=1,0.8775,1.094834566116333
52,PW,SSL2,beta=3.0:k=3,0.835,2.0171966552734375
53,PW,SSL2,beta=3.0:k=5,0.8116666666666666,2.6605093479156494
54,PW,SSL2,beta=3.0:k=10,0.77,4.121539831161499
55,PW,SSL2,beta=5.0:k=1,0.8775,1.0952095985412598
56,PW,SSL2,beta=5.0:k=3,0.8341666666666666,2.0090017318725586
57,PW,SSL2,beta=5.0:k=5,0.8116666666666666,2.718683958053589
58,PW,SSL2,beta=5.0:k=10,0.77,4.030348777770996
59,SVM,SSL2,C=0.1,0.8,0.06651973724365234
60,SVM,SSL2,C=1.0,0.8591666666666666,0.0655968189239502
61,SVM,SSL2,C=3.0,0.9008333333333334,0.05691099166870117
62,1NN,SSL2,NA,0.9458333333333333,0.15785574913024902
63,RFC,SSL2,max_depth=3,0.8458333333333333,0.14731454849243164
64,RFC,SSL2,max_depth=4,0.8591666666666666,0.16268324851989746
65,RFC,SSL2,max_depth=5,0.8616666666666667,0.17623233795166016
66,RFC,SSL2,max_depth=6,0.8766666666666667,0.19439077377319336
67,RFC,SSL2,max_depth=7,0.8725,0.1981494426727295
68,RFC,SSL2,max_depth=8,0.8741666666666666,0.19620609283447266
69,RFC,SSL2,max_depth=9,0.8666666666666667,0.2046651840209961
70,RFC,SSL2,max_depth=10,0.8758333333333334,0.20679736137390137
71,RFC,SSL2,max_depth=11,0.8783333333333333,0.20344781875610352
72,RFC,SSL2,max_depth=12,0.8758333333333334,0.20444178581237793
73,RFC,SSL2,max_depth=13,0.8716666666666667,0.2029721736907959
74,RFC,SSL2,max_depth=14,0.8683333333333333,0.2072277069091797
75,RFC,SSL2,max_depth=15,0.8741666666666666,0.2121739387512207
76,RFC,SSL2,max_depth=16,0.87,0.20351910591125488
77,RFC,SSL2,max_depth=17,0.8725,0.20888924598693848
78,RFC,SSL2,max_depth=18,0.8666666666666667,0.20964884757995605
79,RFC,SSL2,max_depth=19,0.8691666666666666,0.20714139938354492
80,RFC,SSL2,max_depth=20,0.8716666666666667,0.21245837211608887
81,Ensemblewatershed,SSL2,num_features=20,0.8858333333333334,29.648574113845825
82,Ensemblewatershed,SSL2,num_features=30,0.8916666666666667,29.75679111480713
83,Ensemblewatershed,SSL2,num_features=50,0.9058333333333334,30.837734699249268
84,watershed,SSL3,NA,1.0,0.795175313949585
